"V61","V66","V71"
284,284,284
285,285,285
286,286,286
287,287,287
288,288,288
289,289,289
290,290,290
291,291,291
292,292,292
293,293,293
294,294,294
295,295,295
296,296,296
297,297,297
298,298,298
299,299,299
300,300,300
301,301,301
419,419,419
420,420,420
421,421,421
422,422,422
423,423,423
424,424,424
425,425,425
426,426,426
427,427,427
428,428,428
429,429,429
430,430,430
431,431,431
432,432,432
443,443,443
444,444,444
534,534,534
535,535,535
536,536,536
537,537,537
538,538,538
539,539,539
559,559,559
560,560,560
561,561,561
562,562,562
564,564,564
565,565,565
566,566,566
605,605,605
606,606,606
607,607,607
608,608,608
609,609,609
610,610,610
611,611,611
612,612,612
638,638,638
639,639,639
640,640,640
641,641,641
642,642,642
667,667,667
673,673,673
674,674,674
679,679,679
680,680,680
705,705,705
706,706,706
716,716,716
731,731,731
732,732,732
733,733,733
739,739,739
740,740,740
741,741,741
772,772,772
773,773,773
774,774,774
775,775,775
776,776,776
777,777,777
778,778,778
779,779,779
816,816,816
817,817,817
827,827,827
829,829,829
830,830,830
831,831,831
832,832,832
833,833,833
860,860,860
901,901,901
912,912,912
915,915,915
924,924,924
932,932,932
957,957,957
961,961,961
962,962,962
965,965,965
968,968,968
970,970,970
971,971,971
972,972,972
973,973,973
974,974,974
992,992,992
993,993,993
995,995,995
1015,1015,1015
1028,1028,1028
1029,1029,1029
1030,1030,1030
1035,1035,1035
1037,1037,1037
1044,1044,1044
1045,1045,1045
1046,1046,1046
1047,1047,1047
1048,1048,1048
1049,1049,1049
1052,1052,1052
1053,1053,1053
1075,1075,1075
1163,1163,1162
1164,1164,1163
1167,1167,1164
1168,1168,1167
1170,1170,1168
1171,1171,1170
1177,1177,1171
1178,1178,1176
1179,1179,1177
1183,1183,1178
1184,1184,1179
1187,1187,1182
1189,1189,1183
1191,1191,1184
1192,1192,1187
1193,1193,1189
1194,1194,1191
1226,1226,1192
1233,1233,1193
1234,1234,1194
1238,1238,1219
1267,1267,1226
1269,1269,1228
1338,1338,1233
1358,1358,1234
1359,1359,1238
1360,1360,1267
3278,1532,1269
3279,1605,1338
3294,1677,1358
3295,1719,1359
3296,2243,1360
3297,2273,1532
3316,3278,1605
3317,3279,1677
3318,3294,1719
3326,3295,2243
3327,3296,2273
3328,3297,3240
3329,3316,3241
3330,3317,3242
3331,3318,3243
3332,3326,3244
3333,3327,3245
3334,3328,3246
3335,3329,3247
3343,3330,3252
3344,3331,3253
3345,3332,3254
3346,3333,3256
3355,3334,3257
3356,3335,3258
3357,3343,3278
3358,3344,3279
3359,3345,3280
3360,3346,3288
3361,3355,3289
3370,3356,3294
3371,3357,3295
0,3358,3296
0,3359,3297
0,3360,3301
0,3361,3302
0,3370,3312
0,3371,3316
0,0,3317
0,0,3318
0,0,3326
0,0,3327
0,0,3328
0,0,3329
0,0,3330
0,0,3331
0,0,3332
0,0,3333
0,0,3334
0,0,3335
0,0,3343
0,0,3344
0,0,3345
0,0,3346
0,0,3355
0,0,3356
0,0,3357
0,0,3358
0,0,3359
0,0,3360
0,0,3361
0,0,3370
0,0,3371
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
